X,Y,Z
0.540014,0.433880,-0.715927
0.560431,0.402889,-0.680644
0.570862,0.404126,-0.680724
0.578316,0.405373,-0.680491
0.523770,0.397825,-0.686202
0.512307,0.396468,-0.686081
0.500539,0.395813,-0.686386
0.595052,0.414744,-0.393490
0.485917,0.406699,-0.413751
0.562415,0.476016,-0.606664
0.516027,0.474809,-0.613374
0.665662,0.596328,-0.236763
0.394404,0.592659,-0.196777
0.739940,0.870548,-0.350743
0.298269,0.874576,-0.443575
0.569400,0.883869,-0.704338
0.432599,0.784924,-1.035402
0.518502,0.893773,-0.793845
0.467767,0.795737,-1.142665
0.514818,0.844193,-0.784581
0.480832,0.750689,-1.110279
0.528044,0.832464,-0.701502
0.475998,0.741826,-1.031070
0.605428,1.037389,-0.020523
0.424925,1.032201,0.022239
0.617135,1.475662,0.063378
0.425534,1.472296,0.056210
0.606121,1.836737,0.443386
0.426010,1.829505,0.316789
0.610357,1.881291,0.459835
0.419756,1.875913,0.330898
0.581205,1.967458,0.087636
0.452074,1.950200,-0.077408
0.530303,0.453969,-0.029041
0.494208,0.394282,0.005139
0.574428,0.401736,0.004830
0.503565,0.473662,0.008368
0.554248,0.479653,0.008274
0.526873,0.519759,0.000483
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
