X,Y,Z
0.494672,0.308681,-0.519232
0.515428,0.266639,-0.473669
0.529007,0.265989,-0.473741
0.538152,0.266148,-0.473431
0.475971,0.268996,-0.480674
0.463484,0.269947,-0.480596
0.451358,0.272319,-0.481037
0.556405,0.286427,-0.173651
0.438548,0.294855,-0.202274
0.522539,0.351348,-0.409003
0.470619,0.354365,-0.418145
0.653162,0.526012,-0.000601
0.346024,0.519648,-0.049696
0.783080,0.808442,-0.280759
0.191341,0.823317,-0.407931
0.654504,0.666652,-0.864440
0.338938,0.656400,-1.053255
0.616364,0.629627,-0.976764
0.368845,0.630023,-1.166715
0.596909,0.590524,-0.916762
0.388802,0.591178,-1.120097
0.599311,0.599746,-0.849199
0.384753,0.597889,-1.043009
0.596182,1.020072,0.010866
0.399151,1.022923,-0.008638
0.600922,1.497515,0.031186
0.391293,1.486401,-0.043022
0.599087,1.894753,0.339234
0.395371,1.880790,0.131313
0.603480,1.944733,0.345564
0.387407,1.931827,0.136003
0.577257,2.031976,-0.038082
0.429448,2.013521,-0.281440
0.494492,0.331530,-0.031366
0.450674,0.279259,0.007417
0.536198,0.274903,0.008300
0.467710,0.361252,0.006249
0.524126,0.357090,0.006607
0.496983,0.409574,-0.005594
0.655241,0.659982,-0.000000
0.621338,0.650037,-0.004632
0.593645,0.623936,-0.012901
0.567755,0.612334,-0.023728
0.542652,0.608387,-0.033160
0.621526,0.538150,0.000628
0.591082,0.495230,-0.016471
0.562171,0.500494,-0.030808
0.547808,0.519686,-0.038264
0.629045,0.535358,-0.006204
0.592141,0.494253,-0.018872
0.561896,0.503456,-0.027397
0.547837,0.523514,-0.031965
0.633226,0.540359,-0.015562
0.596772,0.500927,-0.025544
0.565644,0.507690,-0.027746
0.549756,0.524986,-0.027778
0.632776,0.553376,-0.026091
0.601438,0.521809,-0.033033
0.578135,0.521069,-0.033032
0.564293,0.531103,-0.031536
0.312562,0.674157,0.000000
0.352450,0.668081,0.001935
0.383477,0.641326,-0.005819
0.409264,0.631753,-0.018296
0.431768,0.628005,-0.030355
0.360573,0.541435,-0.000645
0.393547,0.495096,-0.019566
0.419870,0.520073,-0.035158
0.427523,0.550687,-0.043572
0.348841,0.542869,-0.012530
0.384830,0.494276,-0.027738
0.415109,0.520693,-0.039039
0.423366,0.549815,-0.046066
0.340092,0.553885,-0.025728
0.373387,0.506121,-0.038395
0.404488,0.529123,-0.041711
0.414942,0.555721,-0.042671
0.334487,0.575168,-0.039288
0.364152,0.542151,-0.048700
0.390971,0.550729,-0.048890
0.403666,0.567545,-0.048022
