X,Y,Z
0.464534,0.397129,-0.599006
0.486281,0.359160,-0.553698
0.494594,0.359666,-0.553836
0.504446,0.361152,-0.553480
0.449585,0.360841,-0.561632
0.435320,0.362134,-0.561415
0.424830,0.363649,-0.561845
0.522314,0.377268,-0.231793
0.405794,0.377973,-0.265047
0.486743,0.439912,-0.480402
0.440766,0.442388,-0.490044
0.612421,0.595621,-0.029489
0.311905,0.596101,-0.058441
0.691233,0.878757,-0.219169
0.201788,0.903495,-0.330808
0.645286,0.875085,-0.889972
0.247236,0.842527,-1.104611
0.638004,0.871981,-1.032297
0.265437,0.815792,-1.231352
0.628836,0.823874,-1.052420
0.274288,0.773442,-1.239210
0.623985,0.817767,-0.913745
0.278501,0.775484,-1.117064
0.556313,1.064925,0.007705
0.350523,1.121559,-0.004715
0.563930,1.534839,0.033379
0.350855,1.536933,0.011443
0.552616,1.927886,0.399723
0.346502,1.931730,0.275909
0.556432,1.977034,0.411323
0.338452,1.982599,0.287148
0.521402,2.062329,0.014714
0.381253,2.056945,-0.157580
0.462317,0.417412,-0.028996
0.421672,0.365865,0.005966
0.501037,0.365114,0.008303
0.436453,0.445059,0.005037
0.487461,0.443992,0.006451
0.462561,0.489501,-0.004458
0.609294,0.854292,0.000000
0.633789,0.829366,-0.015620
0.646648,0.797710,-0.033429
0.645408,0.768149,-0.046480
0.629795,0.747984,-0.060286
0.653372,0.868213,-0.072737
0.626301,0.807919,-0.093684
0.609386,0.768291,-0.099492
0.598742,0.748311,-0.100067
0.625876,0.895086,-0.072146
0.600125,0.822333,-0.091653
0.587458,0.776831,-0.090419
0.583894,0.757776,-0.089750
0.598277,0.906137,-0.069291
0.574941,0.836964,-0.083146
0.567585,0.793375,-0.080175
0.569697,0.772982,-0.078148
0.573196,0.905655,-0.066626
0.554189,0.851066,-0.076112
0.553246,0.818517,-0.074809
0.558922,0.801910,-0.074148
0.277100,0.805178,0.000000
0.257398,0.770769,-0.016844
0.248061,0.741305,-0.036249
0.251816,0.712288,-0.051381
0.270287,0.691369,-0.066267
0.228328,0.817440,-0.071385
0.259056,0.764068,-0.094421
0.284457,0.728575,-0.102534
0.301689,0.712145,-0.104235
0.251850,0.854920,-0.071701
0.291211,0.780299,-0.094002
0.313597,0.734508,-0.094115
0.322581,0.714913,-0.093021
0.280518,0.871853,-0.069668
0.317677,0.800034,-0.087571
0.333964,0.753015,-0.081701
0.336756,0.729141,-0.075136
0.307974,0.874662,-0.068020
0.334681,0.816132,-0.077734
0.344957,0.778445,-0.071579
0.343884,0.755753,-0.066130
