X,Y,Z
0.545971,0.412453,-0.684578
0.568817,0.372146,-0.627040
0.581490,0.372252,-0.627075
0.589116,0.372670,-0.627075
0.529926,0.373456,-0.633611
0.516701,0.374021,-0.633594
0.504078,0.374694,-0.634221
0.607237,0.387439,-0.264541
0.486716,0.387676,-0.282566
0.573616,0.454133,-0.554032
0.521171,0.455916,-0.560325
0.710525,0.636229,-0.049701
0.387088,0.615238,-0.222671
0.789329,0.956399,0.005886
0.280882,0.918768,-0.718090
0.791553,1.231267,-0.162069
0.482569,0.691197,-1.328399
0.805714,1.322975,-0.209168
0.521209,0.631372,-1.475855
0.779435,1.317863,-0.254766
0.521299,0.599768,-1.410917
0.761563,1.289761,-0.190340
0.515835,0.614575,-1.318507
0.666802,1.235409,-0.001117
0.425613,1.236846,0.003919
0.656177,1.724790,-0.030263
0.431646,1.716530,-0.020069
0.642240,2.181915,0.386232
0.424914,2.166563,0.276933
0.644205,2.245721,0.398171
0.417225,2.227293,0.293599
0.618708,2.318907,-0.074794
0.451896,2.306752,-0.231574
0.543428,0.429203,-0.031948
0.501060,0.372478,0.008871
0.588244,0.376671,0.011039
0.515792,0.461166,0.002456
0.568227,0.462624,0.003721
0.540738,0.505583,-0.008561
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.479125,0.666721,-0.000000
0.470976,0.623378,0.006579
0.477283,0.585232,0.006719
0.485914,0.555470,0.005144
0.487268,0.532431,0.003310
0.501653,0.558347,-0.002170
0.521871,0.521993,-0.004950
0.534433,0.502245,-0.005813
0.543610,0.486735,-0.006814
0.519899,0.570369,-0.008435
0.546051,0.556969,-0.011851
0.541820,0.573647,-0.009961
0.531039,0.584619,-0.007731
0.535645,0.590708,-0.013519
0.553219,0.585043,-0.014637
0.548452,0.599422,-0.008784
0.538924,0.609137,-0.004984
0.547837,0.613716,-0.018250
0.557529,0.610152,-0.016924
0.551720,0.621453,-0.010833
0.543491,0.629912,-0.006009
