X,Y,Z
0.477197,0.308581,-0.403826
0.493148,0.269481,-0.371678
0.503489,0.269433,-0.371800
0.510657,0.269729,-0.371637
0.460206,0.270990,-0.374096
0.448478,0.271763,-0.374052
0.436763,0.273080,-0.374504
0.524396,0.286485,-0.131175
0.419603,0.291384,-0.135866
0.499386,0.349194,-0.309621
0.456099,0.351206,-0.312131
0.611752,0.491955,-0.060062
0.345447,0.459632,-0.065200
0.626144,0.707328,-0.219538
0.220445,0.605440,-0.492275
0.561548,0.777815,-0.519362
0.422356,0.507388,-0.952642
0.551350,0.835466,-0.605596
0.466780,0.520263,-1.050834
0.520504,0.797005,-0.597400
0.487998,0.514825,-0.998617
0.518556,0.782022,-0.512399
0.480440,0.514488,-0.936927
0.538648,0.979581,0.000787
0.351538,0.967967,0.001456
0.554567,1.366618,0.048285
0.376301,1.359357,0.266567
0.546242,1.721202,0.322582
0.370206,1.718189,0.632150
0.547976,1.767305,0.334880
0.361037,1.769528,0.661300
0.514035,1.856066,0.043874
0.390663,1.838729,0.357348
0.473709,0.333670,-0.029855
0.431846,0.277674,0.003977
0.514293,0.276963,0.006549
0.448566,0.360395,0.007011
0.498968,0.359318,0.008601
0.474176,0.404482,0.001028
0.579842,0.722047,0.000000
0.529881,0.736752,-0.024661
0.490642,0.778019,-0.039310
0.467895,0.815570,-0.049373
0.445545,0.832399,-0.059812
0.505158,0.787290,-0.056287
0.508419,0.829757,-0.083629
0.509632,0.838564,-0.100204
0.505350,0.840338,-0.110874
0.534622,0.784955,-0.056569
0.538003,0.825049,-0.082850
0.532114,0.838735,-0.095937
0.525605,0.842699,-0.106713
0.563248,0.781378,-0.057708
0.573537,0.804620,-0.087042
0.574418,0.812098,-0.096820
0.569643,0.815043,-0.102933
0.590487,0.778060,-0.059882
0.611183,0.800370,-0.086401
0.626642,0.815701,-0.094868
0.635605,0.824929,-0.100190
0.381679,0.491634,0.000000
0.433606,0.486652,-0.013933
0.487444,0.499050,-0.029302
0.521177,0.516280,-0.042677
0.554703,0.528642,-0.058536
0.469300,0.458758,-0.059373
0.506389,0.473021,-0.084136
0.527615,0.485185,-0.097650
0.545741,0.499493,-0.108610
0.439581,0.468176,-0.069474
0.471094,0.529632,-0.100198
0.487008,0.573874,-0.115536
0.500512,0.614524,-0.127262
0.408105,0.485222,-0.078616
0.433660,0.522398,-0.114329
0.451492,0.542949,-0.134225
0.470886,0.564688,-0.148620
0.380598,0.502419,-0.086608
0.373536,0.518069,-0.119269
0.361660,0.518957,-0.133303
0.356708,0.527097,-0.144084
