X,Y,Z
0.555466,0.452816,-0.574763
0.573871,0.406687,-0.527322
0.586594,0.404815,-0.527302
0.599367,0.404160,-0.527484
0.534084,0.412025,-0.515511
0.520530,0.413713,-0.515375
0.507825,0.415665,-0.515791
0.616220,0.419928,-0.214388
0.498033,0.428502,-0.144350
0.581314,0.498048,-0.464722
0.529448,0.499867,-0.447337
0.734694,0.666612,-0.051369
0.421970,0.636213,-0.045699
0.813579,0.976755,-0.024564
0.210659,0.826211,-0.526051
0.827506,1.309841,-0.128741
0.351509,0.542755,-1.208969
0.839607,1.400618,-0.175980
0.379476,0.459201,-1.365394
0.813051,1.398821,-0.224707
0.398603,0.457044,-1.293076
0.796063,1.371337,-0.160874
0.402999,0.485574,-1.204713
0.681831,1.271126,-0.054112
0.450971,1.271714,0.056459
0.668974,1.795421,-0.101161
0.461684,1.791810,-0.033492
0.656017,2.278682,0.308459
0.456463,2.270205,0.201468
0.661140,2.342780,0.320725
0.451713,2.330464,0.214379
0.626303,2.418305,-0.158402
0.481282,2.418378,-0.323019
0.563528,0.471445,-0.032490
0.519005,0.410030,0.002499
0.607549,0.408220,0.005505
0.531784,0.495055,0.010623
0.591050,0.495261,0.012745
0.562334,0.544959,0.003301
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.323682,0.572087,-0.000000
0.369784,0.545966,0.004343
0.396554,0.506459,0.002771
0.419184,0.474671,-0.002819
0.436470,0.452867,-0.006898
0.374906,0.443628,0.009612
0.422846,0.422483,-0.002185
0.435488,0.449018,-0.012253
0.433447,0.471461,-0.017041
0.364302,0.452838,0.001518
0.414260,0.437155,-0.006081
0.423579,0.464326,-0.011267
0.420941,0.482989,-0.014006
0.359332,0.470991,-0.007797
0.404868,0.464048,-0.011334
0.410579,0.487076,-0.007932
0.405343,0.502162,-0.005593
0.357156,0.493891,-0.017472
0.393126,0.489401,-0.013967
0.398698,0.506920,-0.005311
0.394961,0.521869,0.000935
