X,Y,Z
0.454473,0.494197,-0.605596
0.473375,0.460056,-0.555030
0.482424,0.460710,-0.554976
0.489018,0.461872,-0.555046
0.440318,0.459963,-0.560199
0.426732,0.460971,-0.560138
0.416307,0.461514,-0.560593
0.504716,0.476152,-0.237864
0.398633,0.477710,-0.256190
0.476918,0.533295,-0.492037
0.431426,0.532592,-0.498326
0.588429,0.694887,-0.056042
0.312158,0.670417,-0.200907
0.656495,0.976243,-0.030456
0.168802,0.902725,-0.645568
0.681747,1.249769,-0.199567
0.342349,0.700373,-1.170005
0.696334,1.332583,-0.249620
0.393577,0.673702,-1.298419
0.674981,1.328600,-0.291840
0.407367,0.654811,-1.237507
0.658613,1.304388,-0.227353
0.399666,0.663956,-1.160599
0.540309,1.219570,0.007352
0.338380,1.218115,-0.005203
0.529452,1.657546,0.040786
0.336033,1.646259,-0.039859
0.520236,2.060735,0.415422
0.338074,2.044720,0.194025
0.522696,2.116819,0.425690
0.331276,2.097631,0.207160
0.498158,2.179800,0.011119
0.366012,2.166702,-0.249595
0.450227,0.517311,-0.026338
0.414691,0.468988,0.005232
0.486740,0.469314,0.005561
0.428376,0.540716,0.006241
0.473736,0.540263,0.006376
0.451195,0.580481,-0.001115
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.324270,0.660459,0.000000
0.352577,0.637201,-0.000473
0.391887,0.630165,-0.006623
0.419576,0.650636,-0.014862
0.435435,0.676031,-0.022805
0.413674,0.601998,-0.010683
0.463849,0.604564,-0.023088
0.480719,0.619078,-0.030927
0.487721,0.631426,-0.035668
0.412593,0.619609,-0.017513
0.456152,0.632895,-0.029509
0.465647,0.649005,-0.034693
0.468187,0.658779,-0.037470
0.407561,0.646050,-0.024442
0.430857,0.680118,-0.033998
0.419860,0.694295,-0.034025
0.407949,0.696825,-0.032853
0.401189,0.676576,-0.031626
0.414137,0.701926,-0.034111
0.405709,0.706737,-0.030008
0.396008,0.705027,-0.026684
