X,Y,Z
0.543795,0.450974,-0.429793
0.566496,0.410182,-0.386343
0.579553,0.411096,-0.386191
0.590305,0.412729,-0.386264
0.528586,0.409576,-0.374985
0.516432,0.409658,-0.374661
0.502733,0.410632,-0.375064
0.605996,0.431733,-0.118282
0.489776,0.430146,-0.054723
0.567180,0.501026,-0.337545
0.517323,0.498753,-0.320788
0.704629,0.675845,-0.015296
0.405998,0.633149,-0.012299
0.775827,0.989815,0.015388
0.237308,0.851870,-0.467859
0.789391,1.335354,-0.089546
0.359122,0.634538,-1.123016
0.804760,1.441141,-0.134426
0.371592,0.546928,-1.265408
0.768056,1.435681,-0.179637
0.393028,0.526051,-1.216505
0.751812,1.402485,-0.116848
0.403150,0.557975,-1.125500
0.641366,1.232227,-0.038618
0.418226,1.213526,0.041631
0.611384,1.720265,-0.093408
0.402018,1.695428,0.019596
0.569510,2.171392,0.265470
0.361353,2.148076,0.260274
0.570579,2.229781,0.272602
0.349661,2.206643,0.274823
0.531469,2.307245,-0.165519
0.375944,2.291956,-0.214939
0.547877,0.473761,-0.031343
0.507118,0.411901,0.005152
0.591973,0.418535,0.008377
0.518186,0.499771,0.006247
0.572438,0.503791,0.008278
0.543738,0.548462,-0.002599
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.363474,0.675273,-0.000000
0.399935,0.653247,-0.007817
0.425539,0.615898,-0.016592
0.432018,0.584189,-0.027302
0.421531,0.560550,-0.036991
0.406723,0.545217,-0.011641
0.429792,0.511078,-0.034758
0.446429,0.541112,-0.051228
0.450164,0.573437,-0.058871
0.382869,0.546636,-0.018548
0.402045,0.504952,-0.038955
0.422768,0.545300,-0.047181
0.427393,0.582997,-0.049142
0.357134,0.558717,-0.027417
0.371579,0.526505,-0.044911
0.389064,0.566993,-0.041570
0.390425,0.598352,-0.035713
0.330980,0.580139,-0.037337
0.346541,0.562857,-0.048143
0.360812,0.588966,-0.041837
0.362239,0.611717,-0.034727
