X,Y,Z
0.474163,0.425019,-0.530738
0.491441,0.392686,-0.489673
0.501753,0.392344,-0.489674
0.508791,0.392930,-0.489702
0.460102,0.393130,-0.486261
0.449039,0.393255,-0.486044
0.438120,0.394140,-0.486403
0.523241,0.404627,-0.229046
0.427430,0.406119,-0.202056
0.493504,0.459917,-0.438887
0.452648,0.460677,-0.432782
0.608690,0.595936,-0.106141
0.358012,0.569249,-0.122829
0.685805,0.840479,-0.106254
0.220223,0.727101,-0.492301
0.611837,1.007494,-0.248222
0.314412,0.495841,-1.020262
0.595427,1.088558,-0.291395
0.322371,0.425833,-1.139624
0.568307,1.051903,-0.299041
0.336771,0.414627,-1.090165
0.569425,1.020031,-0.254403
0.345221,0.435988,-1.017006
0.551526,1.029879,-0.013554
0.378499,1.008882,0.015026
0.528739,1.416491,0.027195
0.362506,1.401422,0.052847
0.504752,1.762686,0.383246
0.342511,1.748553,0.318689
0.506254,1.804729,0.398166
0.335406,1.789143,0.336483
0.479889,1.871000,0.042736
0.359722,1.864385,-0.062638
0.475173,0.441301,-0.025831
0.440298,0.393800,0.006230
0.510852,0.392599,0.005757
0.454908,0.465134,0.005309
0.497682,0.464144,0.004965
0.476685,0.502561,-0.002323
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.325814,0.515154,0.000000
0.350778,0.494355,-0.007632
0.367285,0.463907,-0.011633
0.373736,0.437924,-0.016852
0.374778,0.414115,-0.021696
0.351445,0.418701,-0.000674
0.361120,0.394422,-0.011770
0.373886,0.389250,-0.020333
0.386989,0.389689,-0.024674
0.337954,0.417789,-0.002938
0.348518,0.386639,-0.014324
0.364560,0.383837,-0.020392
0.378865,0.388395,-0.022366
0.322314,0.422789,-0.007167
0.340019,0.403572,-0.023275
0.348954,0.431260,-0.024202
0.352365,0.457377,-0.019939
0.306280,0.434061,-0.012009
0.323459,0.420855,-0.025002
0.334148,0.441630,-0.023970
0.338401,0.463123,-0.019416
