X,Y,Z
0.516231,0.465956,-0.625312
0.534375,0.432029,-0.583897
0.546133,0.433108,-0.583919
0.552743,0.434496,-0.583779
0.498772,0.430987,-0.592886
0.487248,0.431609,-0.592689
0.476333,0.432765,-0.593123
0.568416,0.448976,-0.269525
0.460061,0.446201,-0.306866
0.540595,0.508215,-0.507552
0.492416,0.508263,-0.519218
0.649504,0.649303,-0.062558
0.369645,0.636993,-0.201849
0.717581,0.920231,-0.000150
0.235658,0.873797,-0.566264
0.658881,1.107892,-0.260632
0.388820,0.791025,-1.188170
0.661642,1.189605,-0.319960
0.438604,0.800117,-1.310602
0.642970,1.160267,-0.359380
0.457088,0.760253,-1.281547
0.638564,1.137749,-0.281689
0.447265,0.757641,-1.185535
0.593727,1.074116,0.014290
0.396635,1.154426,-0.012083
0.601321,1.579440,0.005697
0.407504,1.578916,-0.041757
0.587450,1.982503,0.342122
0.405377,1.979894,0.198614
0.588175,2.033944,0.349651
0.398447,2.031662,0.210875
0.566024,2.110921,-0.058239
0.429303,2.100111,-0.254599
0.513111,0.484174,-0.027502
0.475823,0.431245,0.003170
0.551583,0.432904,0.006061
0.488942,0.509404,0.006695
0.535879,0.509623,0.008494
0.512228,0.550397,0.001168
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.377708,0.802224,0.000000
0.405158,0.753224,-0.001083
0.441148,0.743585,-0.002051
0.467605,0.759722,-0.002612
0.480583,0.778158,-0.002731
0.453815,0.762214,-0.010700
0.495960,0.757736,-0.012932
0.518888,0.754132,-0.012862
0.536643,0.752095,-0.012275
0.455432,0.796435,-0.010970
0.498637,0.804190,-0.011435
0.523712,0.808368,-0.010249
0.540781,0.814652,-0.009483
0.451725,0.822782,-0.010203
0.477172,0.811223,-0.009464
0.472752,0.795135,-0.005508
0.462608,0.789861,-0.002018
0.446360,0.839607,-0.009642
0.465706,0.822615,-0.007037
0.461991,0.809712,-0.000977
0.453048,0.806303,0.004151
