X,Y,Z
0.413715,0.296135,-0.480745
0.432763,0.256987,-0.443970
0.443869,0.256412,-0.443706
0.453957,0.256627,-0.443197
0.398311,0.259103,-0.438080
0.386550,0.259652,-0.438166
0.375876,0.260961,-0.438601
0.467194,0.276727,-0.182847
0.363642,0.280377,-0.143722
0.441754,0.334282,-0.382276
0.394111,0.337548,-0.371805
0.565717,0.488556,-0.075279
0.276289,0.489882,-0.108848
0.652711,0.721630,-0.461688
0.192716,0.733352,-0.563036
0.473333,0.517631,-0.867362
0.413590,0.515051,-0.940293
0.453081,0.434853,-0.951335
0.442364,0.444512,-1.034750
0.461107,0.411443,-0.863372
0.433222,0.415627,-0.958398
0.458348,0.442028,-0.839518
0.422524,0.442268,-0.922040
0.504401,1.020369,0.016046
0.301105,1.020181,-0.014010
0.499415,1.443713,0.181539
0.296593,1.438689,0.163877
0.493495,1.814493,0.639279
0.297356,1.813642,0.496995
0.497365,1.868570,0.666472
0.289937,1.867542,0.522408
0.471024,1.945868,0.303951
0.323406,1.943029,0.120461
0.416120,0.326592,-0.028781
0.372964,0.273143,-0.000669
0.455459,0.272765,0.009036
0.386777,0.353659,0.004504
0.433143,0.352165,0.010479
0.409191,0.392636,0.005360
0.479160,0.526559,-0.000000
0.484412,0.479738,0.000109
0.486713,0.424085,-0.002638
0.483519,0.379349,-0.005551
0.475212,0.348922,-0.010186
0.505485,0.411273,-0.017608
0.490810,0.352700,-0.030729
0.483362,0.316824,-0.040077
0.479230,0.285250,-0.047242
0.504163,0.425181,-0.025571
0.488017,0.359714,-0.035807
0.479804,0.321847,-0.042098
0.475088,0.287692,-0.048291
0.495268,0.446285,-0.033184
0.484089,0.384944,-0.043516
0.476876,0.348806,-0.048962
0.473620,0.319489,-0.053965
0.478992,0.471904,-0.040466
0.473555,0.432359,-0.053123
0.471468,0.404442,-0.059363
0.471477,0.379206,-0.064157
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
