X,Y,Z
0.528323,0.347926,-0.678022
0.544554,0.311312,-0.642704
0.553444,0.312436,-0.642631
0.565587,0.313554,-0.642396
0.512551,0.306816,-0.646769
0.499177,0.304658,-0.646585
0.486640,0.303227,-0.646909
0.579647,0.324287,-0.378753
0.464051,0.315429,-0.393364
0.545869,0.390308,-0.576858
0.502681,0.385209,-0.581327
0.659278,0.532992,-0.250607
0.364353,0.518925,-0.234611
0.734129,0.825055,-0.322083
0.247602,0.798994,-0.468826
0.550036,0.836600,-0.579902
0.459298,0.743754,-0.891638
0.492955,0.880069,-0.648499
0.513198,0.745056,-0.980224
0.478429,0.836307,-0.617489
0.522697,0.705417,-0.921640
0.493578,0.813278,-0.565312
0.508967,0.710277,-0.869563
0.575775,1.028393,-0.004031
0.387601,1.033152,0.005848
0.578003,1.469266,0.074575
0.383747,1.454576,0.099304
0.560616,1.837379,0.465252
0.372205,1.823416,0.420170
0.562901,1.885198,0.484336
0.362954,1.872812,0.441523
0.528061,1.975543,0.123360
0.392127,1.951770,0.037756
0.524176,0.369101,-0.029459
0.488602,0.300361,0.001119
0.568932,0.318678,0.007987
0.492591,0.387314,0.006701
0.543123,0.397895,0.011045
0.513064,0.436647,0.001799
0.532085,0.837572,-0.000000
0.501977,0.800178,0.003057
0.468859,0.791313,0.000280
0.442814,0.801736,-0.003005
0.426300,0.816127,-0.005907
0.452745,0.811657,-0.016606
0.407925,0.823223,-0.026100
0.418097,0.820154,-0.028727
0.436035,0.816675,-0.027780
0.458113,0.847152,-0.020635
0.412055,0.861603,-0.024774
0.421652,0.854864,-0.021274
0.438424,0.849969,-0.018568
0.467396,0.878869,-0.023451
0.425517,0.893946,-0.024493
0.433529,0.884292,-0.016554
0.448449,0.877595,-0.011597
0.479245,0.905453,-0.025619
0.445426,0.916258,-0.024756
0.449671,0.906735,-0.016411
0.461513,0.900097,-0.009998
0.422932,0.746363,0.000000
0.470755,0.743895,0.001048
0.508396,0.721710,-0.002388
0.532999,0.706563,-0.007999
0.552939,0.698431,-0.014386
0.502416,0.681255,-0.014379
0.537962,0.670505,-0.030859
0.560630,0.663873,-0.042806
0.578836,0.655981,-0.051621
0.490890,0.687123,-0.025847
0.528978,0.676942,-0.043475
0.554080,0.672960,-0.055531
0.575369,0.667077,-0.063892
0.477789,0.705052,-0.037308
0.510010,0.696200,-0.055365
0.532869,0.698211,-0.064960
0.553221,0.698315,-0.070880
0.464378,0.731472,-0.048439
0.484402,0.729181,-0.063907
0.499070,0.729659,-0.070256
0.512396,0.732012,-0.074416
