X,Y,Z
0.460134,0.317845,-0.562677
0.480895,0.278232,-0.515030
0.493716,0.278006,-0.515109
0.501722,0.278125,-0.514769
0.442187,0.279236,-0.517878
0.429844,0.279539,-0.517913
0.415467,0.280393,-0.518414
0.519380,0.292526,-0.176026
0.401484,0.295509,-0.187735
0.485401,0.358711,-0.436733
0.435135,0.363142,-0.441284
0.609723,0.503316,-0.091276
0.307184,0.514109,-0.049951
0.731056,0.767715,-0.453436
0.187639,0.807632,-0.536566
0.538419,0.653167,-0.942598
0.400103,0.687303,-1.137926
0.491249,0.624869,-1.032580
0.459248,0.653620,-1.260938
0.482623,0.587047,-0.944130
0.455901,0.617848,-1.187855
0.489653,0.593792,-0.896638
0.443918,0.624663,-1.121780
0.558892,1.037024,-0.018064
0.355721,1.044762,0.020375
0.553975,1.534395,0.087913
0.339348,1.529905,0.126243
0.546773,1.938444,0.555439
0.344018,1.932527,0.462058
0.551031,1.990611,0.577157
0.335384,1.983896,0.484952
0.524000,2.080193,0.152005
0.380063,2.076137,0.025594
0.464537,0.329354,-0.031351
0.419465,0.276822,0.007765
0.504858,0.276822,0.012674
0.437064,0.365475,0.001198
0.489640,0.364021,0.004220
0.464272,0.411136,-0.009381
0.529478,0.641568,-0.000000
0.514182,0.598858,0.000967
0.484272,0.563693,-0.002035
0.458429,0.541035,-0.005765
0.445221,0.515386,-0.009343
0.475594,0.567144,-0.010816
0.434986,0.574742,-0.019350
0.444641,0.581176,-0.023233
0.459026,0.579935,-0.024666
0.475103,0.598099,-0.014968
0.437330,0.601263,-0.020177
0.446911,0.606633,-0.019560
0.460348,0.606248,-0.019744
0.475071,0.629107,-0.018877
0.442540,0.626183,-0.023408
0.451169,0.631012,-0.018331
0.464483,0.631158,-0.015051
0.475095,0.658206,-0.022492
0.449709,0.651882,-0.025267
0.457096,0.653884,-0.020530
0.468269,0.655210,-0.016605
0.391929,0.703404,0.000000
0.397235,0.665679,-0.027959
0.410588,0.636882,-0.043982
0.425389,0.614858,-0.055001
0.438624,0.597065,-0.064725
0.455360,0.681852,-0.037720
0.495684,0.671105,-0.052039
0.521530,0.658447,-0.061484
0.541091,0.646422,-0.067090
0.463081,0.703937,-0.029836
0.506617,0.690271,-0.043174
0.536447,0.673938,-0.050450
0.558560,0.660320,-0.055038
0.466296,0.716289,-0.023462
0.507754,0.705553,-0.034862
0.534420,0.693271,-0.040509
0.554479,0.682712,-0.043208
0.466685,0.718498,-0.019104
0.499028,0.715574,-0.028584
0.520080,0.709613,-0.032421
0.536896,0.702472,-0.033972
