X,Y,Z
0.505951,0.340492,-0.579773
0.523598,0.301347,-0.535273
0.535327,0.300915,-0.535429
0.546287,0.300544,-0.535180
0.489413,0.303935,-0.525960
0.477557,0.304936,-0.525813
0.468345,0.306597,-0.526236
0.561617,0.317048,-0.244158
0.458994,0.324801,-0.191132
0.531474,0.378878,-0.476434
0.484449,0.381032,-0.463057
0.655915,0.530248,-0.116791
0.380301,0.512588,-0.024885
0.746084,0.780510,-0.207958
0.241944,0.734102,-0.399131
0.636997,0.882352,-0.496882
0.321910,0.466505,-1.070788
0.611626,0.930579,-0.562952
0.337064,0.391423,-1.202300
0.590818,0.894350,-0.530688
0.353474,0.374557,-1.156133
0.594504,0.876908,-0.491643
0.361330,0.400750,-1.068370
0.584430,1.022070,-0.026458
0.401105,1.016097,0.028287
0.586495,1.430704,0.033045
0.398459,1.417311,0.134228
0.565062,1.792866,0.456948
0.384060,1.787873,0.466284
0.566609,1.836338,0.478644
0.377660,1.835880,0.489880
0.539133,1.916810,0.100224
0.399880,1.907751,0.075271
0.503559,0.359354,-0.028673
0.468227,0.303808,0.007164
0.546500,0.307382,0.004904
0.479791,0.382640,0.007319
0.528137,0.385611,0.005939
0.502642,0.425677,-0.001775
0.652818,0.863499,-0.000000
0.611984,0.833012,-0.006928
0.570896,0.845833,-0.013476
0.542026,0.879465,-0.017890
0.523544,0.907636,-0.021353
0.585454,0.870970,-0.029547
0.542411,0.906271,-0.042098
0.545220,0.892885,-0.046051
0.558182,0.880688,-0.045546
0.600395,0.901234,-0.028355
0.553262,0.929292,-0.035514
0.555989,0.913014,-0.033958
0.570847,0.902328,-0.032854
0.611518,0.926053,-0.026315
0.566675,0.947931,-0.029541
0.570397,0.932311,-0.022474
0.583767,0.923700,-0.018345
0.619633,0.945393,-0.024435
0.581021,0.959349,-0.024605
0.584105,0.946175,-0.017995
0.596298,0.939824,-0.013774
0.324260,0.472471,0.000000
0.348014,0.441073,0.005667
0.357376,0.409015,0.001298
0.365811,0.386525,-0.006730
0.370927,0.373554,-0.014399
0.322470,0.363736,-0.001167
0.338019,0.326515,-0.009390
0.349706,0.304157,-0.015058
0.358374,0.288501,-0.019025
0.318479,0.368374,-0.010716
0.362991,0.346872,-0.022330
0.379357,0.369911,-0.024402
0.382452,0.390258,-0.023476
0.322841,0.379237,-0.020023
0.365900,0.363042,-0.029042
0.378886,0.384831,-0.025222
0.379290,0.405074,-0.020707
0.332381,0.392505,-0.029343
0.367522,0.384731,-0.032171
0.377710,0.401286,-0.027225
0.378007,0.417951,-0.022759
