X,Y,Z
0.507695,0.330425,-0.585727
0.530434,0.286564,-0.536077
0.542613,0.286779,-0.536016
0.551314,0.288109,-0.535791
0.488970,0.286967,-0.538952
0.474834,0.288297,-0.538822
0.460159,0.289860,-0.539270
0.569175,0.306162,-0.187848
0.441130,0.307651,-0.195531
0.533107,0.382621,-0.459978
0.478786,0.385806,-0.463714
0.669102,0.559988,0.011227
0.341381,0.539506,-0.086029
0.730380,0.898570,0.034383
0.132445,0.803076,-0.562663
0.660776,1.153785,-0.229567
0.286697,0.630151,-1.347232
0.637876,1.249483,-0.286363
0.307588,0.581304,-1.498236
0.611441,1.211772,-0.310387
0.331883,0.556430,-1.448557
0.609241,1.182005,-0.245885
0.336780,0.572784,-1.343338
0.600592,1.079903,-0.008301
0.371835,1.161562,0.011155
0.594896,1.670520,-0.067796
0.371902,1.670037,0.002917
0.573344,2.140025,0.285435
0.362668,2.138881,0.256514
0.575641,2.199889,0.291048
0.354988,2.198277,0.269012
0.544116,2.289554,-0.175438
0.382464,2.288614,-0.261035
0.504343,0.359426,-0.033330
0.455951,0.295642,0.003821
0.548451,0.293795,0.008672
0.474331,0.390150,0.006913
0.530952,0.388427,0.009904
0.503483,0.437974,-0.000174
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.285945,0.696883,-0.000000
0.321982,0.687908,-0.012932
0.350898,0.673038,-0.027027
0.365821,0.657855,-0.042800
0.360415,0.643438,-0.056203
0.362622,0.576127,-0.021138
0.386538,0.560571,-0.045628
0.375788,0.604937,-0.057888
0.362316,0.629825,-0.062045
0.336859,0.567376,-0.027160
0.357895,0.555469,-0.052805
0.350549,0.611210,-0.060651
0.339613,0.637494,-0.061600
0.307353,0.567670,-0.035794
0.326042,0.551063,-0.059929
0.327631,0.604689,-0.062220
0.322774,0.636499,-0.058603
0.278921,0.576190,-0.045169
0.271454,0.530197,-0.059100
0.269831,0.504896,-0.062903
0.269410,0.477097,-0.063774
