X,Y,Z
0.476969,0.392469,-0.701521
0.495160,0.345161,-0.642368
0.503897,0.346095,-0.642277
0.515008,0.347711,-0.642459
0.456942,0.343648,-0.653380
0.441086,0.343583,-0.653337
0.424701,0.344284,-0.653733
0.530178,0.366759,-0.268922
0.397586,0.359691,-0.309688
0.496362,0.445003,-0.565216
0.445813,0.443764,-0.577500
0.630930,0.624664,-0.033171
0.294777,0.600909,-0.270646
0.725846,0.960600,0.005690
0.158345,0.873667,-0.801767
0.758807,1.242622,-0.198972
0.334236,0.560535,-1.443647
0.782518,1.332704,-0.247677
0.356372,0.467277,-1.597076
0.753104,1.319032,-0.291149
0.361610,0.443526,-1.536984
0.730527,1.296108,-0.230728
0.362173,0.474078,-1.437969
0.580939,1.273443,-0.001611
0.333116,1.279587,0.004382
0.564582,1.835411,-0.046884
0.340484,1.838549,-0.114539
0.553416,2.351150,0.398941
0.341447,2.348731,0.135567
0.555394,2.422135,0.413029
0.334464,2.414737,0.146775
0.528038,2.498043,-0.075632
0.376609,2.504781,-0.425587
0.476377,0.427935,-0.033864
0.425066,0.352918,-0.003156
0.519128,0.365679,0.015297
0.440167,0.456340,0.002638
0.494666,0.461184,0.013686
0.466146,0.508698,0.002011
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.318618,0.553960,0.000000
0.342905,0.529738,0.005697
0.354587,0.498410,0.005158
0.363860,0.478298,0.000406
0.371441,0.462970,-0.003960
0.326702,0.438995,0.007530
0.351490,0.396769,0.001615
0.363617,0.376555,-0.001718
0.369935,0.366237,-0.003072
0.327298,0.438406,-0.000336
0.377295,0.419590,-0.010319
0.386200,0.448173,-0.011733
0.381551,0.471047,-0.009715
0.334550,0.442826,-0.008547
0.382326,0.431214,-0.017660
0.388377,0.460557,-0.015198
0.384120,0.484288,-0.010629
0.346444,0.450776,-0.016687
0.382762,0.444079,-0.018997
0.389735,0.467030,-0.014060
0.389115,0.487582,-0.008970
