X,Y,Z
0.524391,0.349323,-0.852617
0.546339,0.311243,-0.812140
0.556309,0.312847,-0.812259
0.564868,0.315304,-0.811883
0.508646,0.310495,-0.804283
0.496716,0.311971,-0.804006
0.485382,0.313701,-0.804270
0.581332,0.337531,-0.499148
0.469688,0.334673,-0.455008
0.547285,0.392250,-0.738353
0.498255,0.390481,-0.726748
0.669171,0.583216,-0.341659
0.385122,0.568070,-0.197171
0.722414,0.962832,-0.605331
0.280250,0.925247,-0.529065
0.566664,0.836817,-1.178182
0.402625,0.726590,-1.294505
0.516121,0.819758,-1.297624
0.438902,0.717509,-1.420284
0.514768,0.757805,-1.254956
0.457180,0.673832,-1.375494
0.526358,0.758497,-1.165702
0.449574,0.680407,-1.290236
0.614326,1.062785,-0.045354
0.422419,1.059747,0.047556
0.625586,1.520105,0.047262
0.414825,1.525738,0.291292
0.625025,1.890540,0.524934
0.426971,1.890277,0.791368
0.631829,1.941646,0.546813
0.420213,1.941045,0.831545
0.601192,2.022282,0.103042
0.459975,2.017878,0.384688
0.515420,0.366208,-0.033204
0.473165,0.319845,0.012750
0.563357,0.322173,0.010839
0.490310,0.408934,0.000670
0.540377,0.409654,-0.000605
0.513503,0.452246,-0.009443
0.573872,0.820785,-0.000000
0.541781,0.784844,0.001192
0.491002,0.764964,-0.007367
0.449828,0.768452,-0.016471
0.418493,0.781895,-0.025930
0.504872,0.756443,-0.028723
0.441468,0.773472,-0.049166
0.451836,0.771856,-0.059475
0.475300,0.769205,-0.062882
0.512809,0.789337,-0.037213
0.438993,0.807936,-0.055338
0.458515,0.805168,-0.058198
0.487585,0.802515,-0.057976
0.519100,0.823370,-0.044240
0.450436,0.841173,-0.057646
0.469327,0.837407,-0.049163
0.494216,0.832406,-0.041513
0.522798,0.859640,-0.050616
0.469666,0.868654,-0.061216
0.484278,0.865224,-0.054150
0.506033,0.861455,-0.047163
0.404692,0.706948,0.000000
0.462801,0.700448,-0.000767
0.509566,0.695168,-0.005736
0.540814,0.685573,-0.012554
0.566137,0.667067,-0.020338
0.495609,0.673324,-0.015119
0.526114,0.697698,-0.031127
0.536289,0.713684,-0.042507
0.542175,0.726078,-0.050616
0.473138,0.678755,-0.025264
0.498138,0.703806,-0.038122
0.509564,0.722164,-0.046505
0.519023,0.736464,-0.054879
0.446675,0.689479,-0.035817
0.468585,0.710509,-0.050924
0.480117,0.727655,-0.056917
0.492584,0.740646,-0.062474
0.420179,0.705169,-0.046130
0.428191,0.721702,-0.059645
0.433620,0.730732,-0.063617
0.438818,0.738109,-0.067184
