X,Y,Z
0.530847,0.229363,-0.584240
0.555458,0.188856,-0.537743
0.568271,0.190244,-0.537632
0.577912,0.192725,-0.537099
0.514977,0.188336,-0.524191
0.501715,0.190245,-0.524154
0.488869,0.191876,-0.524281
0.597210,0.218285,-0.257055
0.476297,0.214227,-0.189094
0.555391,0.280536,-0.486152
0.503829,0.277050,-0.467941
0.685065,0.482532,-0.141462
0.383308,0.471106,-0.030682
0.797114,0.851343,-0.539869
0.270910,0.843831,-0.435069
0.692006,0.549610,-1.105110
0.357511,0.561251,-1.053909
0.655800,0.474755,-1.207721
0.384703,0.489507,-1.164741
0.649604,0.447711,-1.140150
0.395171,0.459518,-1.144457
0.648780,0.465707,-1.088637
0.397739,0.474569,-1.051894
0.622004,1.017402,-0.032990
0.432104,1.011021,0.035537
0.627637,1.470673,0.057828
0.414297,1.466066,0.229668
0.620152,1.862088,0.463365
0.418993,1.860183,0.610186
0.625555,1.913054,0.482106
0.410134,1.912150,0.638639
0.594532,1.999758,0.074676
0.449184,1.997830,0.197047
0.530898,0.248956,-0.035370
0.481420,0.200963,0.014858
0.579381,0.203555,0.017354
0.501500,0.294039,-0.005061
0.554200,0.295230,-0.003505
0.526785,0.338605,-0.017639
0.695487,0.579706,-0.000000
0.655776,0.550697,-0.000007
0.624400,0.504419,-0.001234
0.599850,0.475876,-0.006251
0.574541,0.460171,-0.010878
0.646470,0.443322,0.019122
0.630601,0.400317,0.009163
0.612674,0.382879,-0.003229
0.594672,0.374718,-0.011902
0.658633,0.439542,0.010808
0.643754,0.391310,0.000353
0.622461,0.374320,-0.011342
0.600550,0.369410,-0.018708
0.671920,0.441573,-0.000237
0.657463,0.392486,-0.008716
0.635431,0.376427,-0.014726
0.613744,0.372788,-0.017947
0.686603,0.449150,-0.012359
0.672638,0.407183,-0.017576
0.653593,0.389873,-0.019764
0.633928,0.383080,-0.020898
0.360691,0.568066,0.000000
0.398826,0.534146,-0.000861
0.425254,0.491252,-0.004302
0.446103,0.464839,-0.011105
0.468930,0.445271,-0.018383
0.398666,0.427673,0.008538
0.411345,0.381274,-0.004225
0.433704,0.366283,-0.017145
0.454818,0.362566,-0.025069
0.386626,0.428957,0.000401
0.400588,0.379551,-0.010374
0.424491,0.363792,-0.022018
0.447154,0.362139,-0.029573
0.374665,0.435032,-0.009727
0.386312,0.385206,-0.019088
0.410013,0.367202,-0.025411
0.433473,0.363234,-0.028886
0.362928,0.447538,-0.020742
0.370626,0.406682,-0.028341
0.388036,0.386236,-0.030486
0.407240,0.377141,-0.030840
