X,Y,Z
0.504712,0.381669,-0.671923
0.522195,0.342203,-0.631305
0.530368,0.343283,-0.631364
0.539366,0.344472,-0.630974
0.487535,0.340297,-0.639101
0.473265,0.340211,-0.639045
0.462736,0.340009,-0.639445
0.554612,0.365489,-0.327653
0.443095,0.362020,-0.363661
0.524340,0.425982,-0.560650
0.481370,0.424458,-0.569911
0.644067,0.607988,-0.130456
0.340278,0.601479,-0.164236
0.709899,0.969010,-0.380207
0.266001,0.973383,-0.435770
0.634362,0.834477,-1.096858
0.333173,0.826580,-1.167047
0.613256,0.798864,-1.225555
0.358757,0.787469,-1.285856
0.616553,0.746173,-1.211912
0.352955,0.735067,-1.286910
0.617689,0.751663,-1.102583
0.351352,0.741325,-1.179112
0.594512,1.069995,0.001705
0.392505,1.120774,0.000831
0.597541,1.522845,0.011174
0.394452,1.526727,0.003441
0.594021,1.899305,0.341143
0.399225,1.900019,0.266232
0.600106,1.947788,0.350807
0.389774,1.949233,0.277094
0.566794,2.029953,-0.021137
0.434114,2.020459,-0.130889
0.494210,0.383286,-0.030513
0.453556,0.343902,0.014181
0.537688,0.345157,0.014012
0.470890,0.424088,-0.004028
0.516020,0.424417,-0.004227
0.492398,0.461462,-0.015322
0.641276,0.841039,-0.000000
0.648605,0.783742,-0.003224
0.645584,0.718954,-0.014989
0.653534,0.673495,-0.026853
0.673397,0.643092,-0.038782
0.630287,0.725964,-0.036365
0.577062,0.684402,-0.052818
0.586615,0.704117,-0.057886
0.604934,0.722299,-0.058632
0.613035,0.762080,-0.041663
0.560145,0.713401,-0.055288
0.573595,0.732841,-0.052637
0.592542,0.750849,-0.050121
0.595288,0.794655,-0.045791
0.548823,0.745236,-0.055601
0.562771,0.761427,-0.044997
0.581471,0.778864,-0.037012
0.578041,0.823703,-0.049750
0.544410,0.778864,-0.055590
0.556850,0.790471,-0.046619
0.572500,0.808172,-0.039383
0.325078,0.832304,-0.000000
0.316307,0.772807,-0.005184
0.318702,0.701014,-0.015324
0.316046,0.651952,-0.025656
0.301168,0.617745,-0.033560
0.338593,0.709220,-0.029156
0.393020,0.660858,-0.046970
0.383233,0.683880,-0.052835
0.364128,0.702013,-0.053624
0.358142,0.741303,-0.034888
0.412518,0.691427,-0.046425
0.399449,0.712221,-0.042484
0.379484,0.730469,-0.039187
0.376721,0.773085,-0.040684
0.425101,0.724324,-0.047529
0.411090,0.742482,-0.034322
0.392557,0.760973,-0.025492
0.393351,0.802751,-0.046942
0.429439,0.760313,-0.047574
0.416855,0.774674,-0.035219
0.401054,0.791465,-0.026947
