X,Y,Z
0.477200,0.386181,-0.783303
0.501827,0.342240,-0.726199
0.511631,0.344219,-0.726189
0.521376,0.347265,-0.726097
0.460876,0.341630,-0.732203
0.446111,0.342712,-0.732155
0.434561,0.344308,-0.732510
0.537598,0.372572,-0.386587
0.413696,0.369233,-0.405765
0.501072,0.438144,-0.662016
0.450823,0.434114,-0.667393
0.629965,0.652489,-0.188867
0.318604,0.637230,-0.345179
0.683357,0.998243,-0.146988
0.263102,0.990292,-0.800393
0.696051,1.318350,-0.347993
0.425147,0.716355,-1.419732
0.719528,1.409397,-0.398897
0.451742,0.644451,-1.558873
0.694547,1.418040,-0.444248
0.445328,0.615979,-1.518280
0.672618,1.384253,-0.377816
0.443508,0.634119,-1.418296
0.584516,1.249338,0.001900
0.363872,1.256262,0.000419
0.577886,1.734795,0.020757
0.374999,1.738242,-0.037553
0.569270,2.178776,0.514602
0.381989,2.178648,0.292370
0.572889,2.241089,0.534883
0.376406,2.239973,0.311285
0.549044,2.311649,0.093280
0.407034,2.311256,-0.197532
0.464639,0.377532,-0.034775
0.423443,0.337584,0.021146
0.517489,0.345138,0.015601
0.437804,0.424790,-0.005199
0.490655,0.427935,-0.008757
0.460542,0.466883,-0.023378
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.429380,0.693185,-0.000000
0.413770,0.646470,0.001439
0.415418,0.597628,-0.002132
0.433529,0.568906,-0.006217
0.454401,0.562840,-0.010418
0.423974,0.579596,-0.014348
0.438632,0.518980,-0.020852
0.449173,0.485328,-0.022760
0.457520,0.458569,-0.024336
0.445489,0.590294,-0.019281
0.469875,0.548488,-0.028648
0.465578,0.567513,-0.026397
0.455830,0.587398,-0.022551
0.466673,0.606761,-0.022872
0.482991,0.573092,-0.027461
0.479005,0.588264,-0.018594
0.471428,0.603098,-0.011622
0.484658,0.624949,-0.026455
0.494320,0.595250,-0.025185
0.489445,0.607643,-0.015438
0.484224,0.620189,-0.007940
